month,business_type,market_condition,price,marketing_spend,employees,demand,revenue,operational_cost,profit,customer_churn_rate,risk_flag
2020-01,Manufacturing,Recession,530.18,40086.1,25,1167,618720.06,600702.12,18017.94,0.06,0
2020-01,Manufacturing,Competitive,800.68,11429.01,7,3985,3190709.8,1073641.95,2117067.85,0.24,1
2020-01,E-Commerce,Stable,527.28,13253.2,62,519,273658.32,1025350.7,-751692.38,0.02,1
2020-01,Retail,Stable,1301.34,11277.22,64,1838,2391862.92,1688836.1,703026.82,0.07,0
2020-01,E-Commerce,Recession,559.41,28140.55,68,5744,3213251.04,2012115.86,1201135.18,0.22,1
2020-01,Manufacturing,Stable,317.09,47699.85,64,1052,333578.68,1107773.45,-774194.77,0.21,1
2020-01,Retail,Stable,615.61,15846.15,64,2288,1408515.68,1398400.85,10114.83,0.21,1
2020-01,Manufacturing,Growth,665.8,34813.5,6,4539,3022066.2,1031433.36,1990632.84,0.14,0
2020-01,E-Commerce,Competitive,256.36,42902.81,48,2909,745751.24,986628.18,-240876.94,0.11,1
2020-01,E-Commerce,Recession,787.77,30669.98,66,1310,1031978.7,1330263.59,-298284.89,0.21,1
2020-01,Retail,Stable,1691.73,21053.9,64,685,1158835.05,1328704.42,-169869.37,0.08,1
2020-01,Retail,Recession,334.19,49409.91,5,6679,2232055.01,794026.41,1438028.6,0.02,0
2020-01,Manufacturing,Stable,1480.42,40557.9,9,626,926742.92,453580.78,473162.14,0.17,0
2020-01,Manufacturing,Growth,1009.01,9293.46,27,1958,1975641.58,1006985.93,968655.65,0.19,1
2020-01,E-Commerce,Growth,1049.99,10381.74,7,2371,2489526.29,862239.63,1627286.66,0.15,0
2020-01,Manufacturing,Stable,272.78,36979.83,46,9952,2714706.56,1541391.8,1173314.76,0.04,0
2020-01,Manufacturing,Growth,1055.67,30347.4,8,1442,1522276.14,607030.24,915245.9,0.08,0
2020-01,Retail,Competitive,565.51,47428.41,75,7122,4027562.22,2380697.08,1646865.14,0.06,0
2020-01,E-Commerce,Competitive,732.14,9747.24,32,3450,2525883.0,1247512.14,1278370.86,0.07,0
2020-01,E-Commerce,Growth,783.82,10493.96,66,3800,2978516.0,1894048.76,1084467.24,0.08,0
2020-01,Manufacturing,Competitive,1672.43,43732.88,74,1285,2149072.55,1798454.64,350617.91,0.13,0
2020-01,Retail,Stable,807.71,47430.94,36,4950,3998164.5,1786880.29,2211284.21,0.11,0
2020-01,E-Commerce,Growth,1932.41,16330.2,6,1488,2875426.08,968958.02,1906468.06,0.05,0
2020-01,Retail,Stable,1957.91,23496.67,5,1580,3093497.8,1026546.01,2066951.79,0.14,0
2020-01,E-Commerce,Growth,635.7,35246.1,79,5561,3535127.7,2280784.41,1254343.29,0.07,0
2020-01,Manufacturing,Recession,1046.54,49254.04,15,2427,2539952.58,1036239.81,1503712.77,0.2,1
2020-01,Retail,Stable,535.73,6834.88,24,3441,1843446.93,919868.96,923577.97,0.18,0
2020-01,Manufacturing,Recession,1657.1,20689.97,75,856,1418477.6,1571233.25,-152755.65,0.18,1
2020-01,Manufacturing,Growth,447.54,20347.99,54,1344,601493.76,1010796.12,-409302.36,0.14,1
2020-01,E-Commerce,Stable,1387.97,41775.0,64,2002,2778715.94,1835389.78,943326.16,0.08,0
2020-01,E-Commerce,Growth,1820.75,33489.57,13,1988,3619651.0,1314384.87,2305266.13,0.1,0
2020-01,Manufacturing,Growth,928.11,44949.65,79,634,588421.74,1406476.17,-818054.43,0.16,1
2020-01,Manufacturing,Stable,1892.24,48814.87,22,1536,2906480.64,1250759.06,1655721.58,0.15,0
2020-01,E-Commerce,Competitive,1990.02,12916.64,72,1021,2031810.42,1702459.77,329350.65,0.13,0
2020-01,Manufacturing,Recession,754.51,29414.31,63,1951,1472049.01,1416029.01,56020.0,0.08,0
2020-01,E-Commerce,Competitive,1962.01,26903.4,12,1818,3566934.18,1276983.65,2289950.53,0.12,0
